1,CUST036,FRONTEO,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,Unit 1201 & 1204 12th Floor Isquare Building Meralco Ave Ortigas Center,Pasig City,Metro Manila,Philippines,1605,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST037,GHL SYSTEMS PHILIPPINES INC,11701,single,TYP001,CLS001,Price1,VT,CASH,246-200-050-000,"6F One Corporate Plaza, 845 Arnaiz Avenue, Legaspi Village",Makati City,Metro Manila,Philippines,1229,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST038,"GLOBAL INTEGRATED CONTACT FACILITIES, INC/SYNLINK BUSINESS",11701,single,TYP001,CLS001,Price1,VT,CASH,009-422-754-000,"11F Robinsons Equitable Tower, ADB Ave., Ortigas Ctr., Pasig City",Pasig City,Metro Manila,Philippines,1605,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST039,HAYAKAWA COMPONENTS,11701,single,TYP001,CLS001,Price1,VT,CASH,005-067-750-000,Philippine Economic Zone Authority,Rosario,Cavite,Philippines,4106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST040,HAYAKAWA ELECTRONICS CORP.,11701,single,TYP001,CLS001,Price1,VT,CASH,000-289-894-000,Dr. Corner 1st St.Cavite Economic Zone,Rosario,Cavite,Philippines,4106,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST041,HINO MOTORS,11701,single,TYP001,CLS001,Price1,VT,CASH,000-059-891-000,"Industrial Park Road, Canlubang Industrial Estate, Canlubang",Calamba,Laguna,Philippines,4028,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST042,IBARRA'S PARTY AND VENUES,11701,single,TYP001,CLS001,Price1,VT,CASH,232-743-896-001,"Plaza Ibarra #77, Timog Ave., Brgy. South Triangle",Quezon City,Metro Manila,Philippines,1103,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST043,IWASAKI,11701,single,TYP001,CLS001,Price1,VT,CASH,008-572-543-000,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST044,LED WORKS PHILIPPINES,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST045,LEMON SQUARE/BIG E,11701,single,TYP001,CLS001,Price1,VT,CASH,206-635-526-000,91 Sampaloc St. Libtong,Meycauayan,Bulacan,Philippines,3020,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST046,LUBD PHILIPPINES MAKATI,11701,single,TYP001,CLS001,Price1,VT,CASH,009-045-681-000,"7820 Makati Ave, Brgy. Poblacion",Makati City,Metro Manila,Philippines,1210,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST047,MACH UNION ,11701,single,TYP001,CLS001,Price1,VT,CASH,006-589-449-000,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST048,MASAITO,11701,single,TYP001,CLS001,Price1,VT,CASH,NULL,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST049,"MEGA CELLULAR NETWORK, INC",11701,single,TYP001,CLS001,Price1,VT,CASH,001-239-916-000,"1953-55 Buensalida Building, M. Adriatico St., Malate,",Manila,Metro Manila,Philippines,1004,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST050,MEGAWORLD/PHRI,11701,single,TYP001,CLS001,Price1,VT,CASH,201-888-636-000,"21 San Miguel Avenue, Ortigas Center",Pasig City,Metro Manila,Philippines,1600,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST051,"MERCK, INC",11701,single,TYP001,CLS001,Price1,VT,CASH,000-163-943-000,"36F The Finance Centre, 26th Street Bonifacio Global City",Taguig City,Metro Manila,Philippines,1630,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
1,CUST052,"MICRODATA SYSTEMS AND MANAGEMENT, INC",11701,single,TYP001,CLS001,Price1,VT,CASH,000-132-948-000,199 CM RECTO ST ADDITION HILLS  SAN JUAN CITY,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INACTIVE,NULL
1,CUST053,MICROIMAGE,11701,single,TYP001,CLS001,Price1,VT,CASH,228-007-677-000,NULL,NULL,NULL,Philippines,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ACTIVE,NULL
